"Indicators","BNC","BPH","BUH","CAPITALBK","SOGEBK","UNIBNK","SOGEBL","CBNA","TOTAL","Parts1_fr","Parts2_fr","Parts1_en","Parts2_en","Date","SCOTIA","BICH","SOCABK","PROMOBK","SOCABL","BHD..","BHD"
"PORTEFEUILLE_DE_CRÉDIT_portefeuille_brut",22873844.1,1346650.99485,15149013.818676,10947901,33505490.41681,36618062.65118,5057445.13242,668207,126166615.113936,"Portefeuille de crédit","Portefeuille de crédit","Loan portfolio","Loan portfolio","2020-03-01",NA,NA,NA,NA,NA,NA,NA
"PORTEFEUILLE_DE_CRÉDIT_provisions_pour_creances_douteuses",1358343.2,656272.4763,537107.508887971,82829,1793387.30387,655766.38588,198032.50212,0,5281738.37705797,"Portefeuille de crédit","Portefeuille de crédit","Loan portfolio","Loan portfolio","2020-03-01",NA,NA,NA,NA,NA,NA,NA
"PORTEFEUILLE_DE_CRÉDIT_portefeuille_de_credit_improductif",5355879.7,1075775.06472443,240735.720208016,98154,649686,321541.31422,678754.10549,0,8420525.90464245,"Portefeuille de crédit","Portefeuille de crédit","Loan portfolio","Loan portfolio","2020-03-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔTS_EN_USD_CONVERTIS_EN_HTG_depots_us_convertis",31459263.6607556,2784011.6876,16050518.2825846,18776752,65718295.5903193,87843373.2302209,4604018.16117,3721702,230957934.61265,"Dépôts en USD convertis en HTG","Dépôts en USD convertis en HTG","Deposit in US converted in HTG","Deposit in US converted in HTG","2020-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_encaisse",4516936,407557.91194,863244.252048954,1103010,6960627.26511,4191196.36808958,72513.06816,96904,18211988.8653485,"Actif","Actif liquide","Asset","Liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_a_la_brh",28943329,1126165.20668,15740903.2247163,12466609,39876738.40926,56036509.9182348,1206318.49318,3311406,158707979.252071,"Actif","Actif liquide","Asset","Liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_a_l'etranger",2834991,0,740065.26216,4533255,8483876.18548,13210595.5099804,0,735391,30538173.9576204,"Actif","Actif liquide","Asset","Liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_dans_les_banques_locales",0,0,192819.799753812,15816,8444.185,0,379483.6174,0,596563.602153812,"Actif","Actif liquide","Asset","Liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_autres_liquidites",298480.1,194839.71314,551.27077484,385520,117463.86061,930514.539565516,33432.71423,52900,2013702.19832036,"Actif","Actif liquide","Asset","Liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_bons_b.r.h.",4e+05,50000,0,0,5500000,2e+05,0,0,6150000,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_bons_du_tresor_/_m.e.f.",18800000,1490000,0,0,0,8400000,0,0,28690000,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_autres_placements",11152298.9,0,2563469.61954721,2883158,15552962.68332,25141827.1668126,1332107.52007,0,58625823.8897499,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_portefeuille_net",20526808.57988,207894.26791,12543693.8086649,10234346,33648881.86866,32903482.13587,4398483.66225,373139,114836729.323235,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-03-01",NA,NA,NA,NA,NA,NA,NA
